3.000000	0.000000
2.999882	0.000000
2.999526	0.000002
2.998934	0.000007
2.998105	0.000016
2.997040	0.000031
2.995738	0.000054
2.994200	0.000085
2.992425	0.000127
2.990414	0.000181
2.988168	0.000248
2.985687	0.000330
2.982970	0.000428
2.980018	0.000544
2.976831	0.000679
2.973411	0.000835
2.969757	0.001013
2.965870	0.001215
2.961750	0.001442
2.957397	0.001695
2.952813	0.001977
2.947997	0.002287
2.942950	0.002629
2.937674	0.003002
2.932168	0.003410
2.926433	0.003852
2.920470	0.004331
2.914280	0.004847
2.907863	0.005403
2.901219	0.006000
2.894351	0.006638
2.887258	0.007320
2.879942	0.008046
2.872403	0.008819
2.864642	0.009639
2.856661	0.010507
2.848459	0.011426
2.840039	0.012396
2.831400	0.013418
2.822545	0.014495
2.813473	0.015626
2.804187	0.016814
2.794687	0.018060
2.784974	0.019364
2.775050	0.020729
2.764915	0.022155
2.754572	0.023644
2.744020	0.025197
2.733262	0.026814
2.722298	0.028498
2.711130	0.030249
2.699759	0.032068
2.688187	0.033957
2.676414	0.035916
2.664443	0.037948
2.652275	0.040052
2.639910	0.042230
2.627351	0.044483
2.614599	0.046812
2.601655	0.049218
2.588521	0.051702
2.575199	0.054265
2.561690	0.056908
2.547995	0.059632
2.534117	0.062438
2.520056	0.065327
2.505815	0.068300
2.491395	0.071357
2.476797	0.074500
2.462024	0.077729
2.447078	0.081045
2.431959	0.084450
2.416670	0.087943
2.401212	0.091526
2.385587	0.095200
2.369798	0.098964
2.353845	0.102821
2.337731	0.106770
2.321457	0.110812
2.305026	0.114949
2.288440	0.119180
2.271699	0.123506
2.254807	0.127928
2.237764	0.132447
2.220574	0.137063
2.203238	0.141776
2.185757	0.146588
2.168134	0.151498
2.150372	0.156508
2.132472	0.161617
2.114435	0.166827
2.096265	0.172137
2.077963	0.177547
2.059531	0.183060
2.040971	0.188674
2.022286	0.194390
2.003478	0.200209
1.984548	0.206130
1.965499	0.212155
1.946333	0.218282
1.927052	0.224514
1.907658	0.230849
1.888154	0.237288
1.868542	0.243831
1.848823	0.250479
1.829001	0.257231
1.809077	0.264087
1.789054	0.271048
1.768933	0.278114
1.748717	0.285285
1.728409	0.292560
1.708011	0.299940
1.687524	0.307425
1.666951	0.315015
1.646295	0.322709
1.625557	0.330508
1.604741	0.338412
1.583847	0.346419
1.562879	0.354531
1.541840	0.362747
1.520730	0.371067
1.499553	0.379490
1.478311	0.388016
1.457006	0.396646
1.435640	0.405378
1.414216	0.414212
1.392737	0.423149
1.371203	0.432188
1.349619	0.441327
1.327986	0.450568
1.306307	0.459909
1.284583	0.469350
1.262818	0.478891
1.241013	0.488531
1.219171	0.498269
1.197294	0.508106
1.175385	0.518040
1.153445	0.528070
1.131478	0.538197
1.109486	0.548420
1.087470	0.558737
1.065434	0.569149
1.043380	0.579655
1.021309	0.590253
0.999224	0.600943
0.977128	0.611725
0.955023	0.622597
0.932911	0.633559
0.910795	0.644610
0.888677	0.655749
0.866558	0.666975
0.844442	0.678288
0.822331	0.689686
0.800226	0.701168
